# High-impact USD news events for news filter
# Format: event_time,currency,impact,event_name
# event_time: UTC timestamp
# currency: USD (only USD events filtered for Gold)
# impact: HIGH, MEDIUM, LOW
# event_name: description of the event
#
# Sources for real data:
# - ForexFactory: https://www.forexfactory.com/calendar
# - Investing.com: https://www.investing.com/economic-calendar/
# - DailyFX: https://www.dailyfx.com/economic-calendar
#
# Example events (replace with actual data):
event_time,currency,impact,event_name
2024-01-03 13:30:00,USD,HIGH,FOMC Meeting Minutes
2024-01-05 13:30:00,USD,HIGH,Non-Farm Payrolls
2024-01-11 13:30:00,USD,HIGH,CPI (YoY)
2024-01-17 13:30:00,USD,HIGH,Retail Sales (MoM)
2024-01-26 13:30:00,USD,HIGH,GDP (QoQ) Advance
2024-01-31 19:00:00,USD,HIGH,FOMC Rate Decision
2024-02-02 13:30:00,USD,HIGH,Non-Farm Payrolls
2024-02-13 13:30:00,USD,HIGH,CPI (YoY)
2024-02-15 13:30:00,USD,HIGH,Retail Sales (MoM)
2024-02-29 13:30:00,USD,HIGH,Core PCE Price Index
2024-03-08 13:30:00,USD,HIGH,Non-Farm Payrolls
2024-03-12 12:30:00,USD,HIGH,CPI (YoY)
2024-03-20 18:00:00,USD,HIGH,FOMC Rate Decision
2024-03-28 12:30:00,USD,HIGH,GDP Final
2024-04-05 12:30:00,USD,HIGH,Non-Farm Payrolls
2024-04-10 12:30:00,USD,HIGH,CPI (YoY)
2024-04-26 12:30:00,USD,HIGH,Core PCE Price Index
2024-05-01 18:00:00,USD,HIGH,FOMC Rate Decision
2024-05-03 12:30:00,USD,HIGH,Non-Farm Payrolls
2024-05-15 12:30:00,USD,HIGH,CPI (YoY)
2024-06-07 12:30:00,USD,HIGH,Non-Farm Payrolls
2024-06-12 12:30:00,USD,HIGH,CPI (YoY)
2024-06-12 18:00:00,USD,HIGH,FOMC Rate Decision
